月日,名前,種類,金額,コード
1月2日,前田 ,光熱費,3900,19
1月2日,橋本 ,消耗品費,3500,15
1月2日,藤田 ,接待費,1100,16
1月2日,石川 ,給　料,200,02
1月2日,井上 ,交際費,5500,07
1月2日,高橋 ,雑　費,2700,08
1月2日,鈴木 ,交際費,2500,12
1月2日,木村 ,接待費,1800,04
1月2日,青木 ,給　料,400,15
1月2日,西村 ,減価償却費,1500,16
1月2日,山田 ,広告費,6700,10
1月2日,加藤 ,保険料,3700,09
1月2日,井上 ,通信費,7400,04
1月2日,中川 ,厚生費,700,16
1月2日,藤田 ,広告費,300,03
1月2日,近藤 ,厚生費,8300,03
1月2日,福田 ,光熱費,8600,03
1月2日,小川 ,地代家賃,4400,17
1月3日,山口 ,交際費,8300,08
1月3日,阿部 ,消耗品費,5100,11
1月3日,林 ,減価償却費,4100,12
1月3日,中島 ,交際費,7200,07
1月3日,松田 ,通信費,1300,16
1月3日,森 ,地代家賃,7700,17
1月3日,太田 ,広告費,7500,05
1月3日,後藤 ,減価償却費,2100,03
1月3日,橋本 ,厚生費,5200,17
1月3日,井上 ,光熱費,10000,19
1月3日,三浦 ,保険料,6600,15
1月3日,坂本 ,接待費,2400,02
1月3日,中島 ,通信費,500,02
1月3日,松本 ,雑　費,8400,18
1月3日,太田 ,通信費,9700,13
1月3日,伊藤 ,接待費,7600,08
1月3日,山本 ,光熱費,5500,02
1月3日,西村 ,地代家賃,4100,06
1月3日,石川 ,厚生費,8500,04
1月3日,後藤 ,光熱費,6700,07
1月3日,池田 ,広告費,5100,08
1月3日,石川 ,光熱費,1300,08
1月3日,藤井 ,交通費,2200,12
1月3日,森 ,消耗品費,6200,12
1月3日,池田 ,通信費,2100,02
1月3日,伊藤 ,広告費,9000,12
1月3日,中村 ,通信費,100,13
1月3日,青木 ,雑　費,1400,01
1月3日,清水 ,交際費,6200,09
1月4日,加藤 ,接待費,2700,19
1月4日,岡本 ,広告費,2900,17
1月4日,井上 ,光熱費,6000,18
1月4日,松本 ,雑　費,4200,20
1月4日,長谷川 ,租税公課,4300,06
1月4日,山崎 ,減価償却費,9600,05
1月4日,近藤 ,租税公課,700,08
1月4日,中川 ,消耗品費,4800,03
1月4日,佐々木 ,厚生費,8500,16
1月4日,中村 ,租税公課,8400,15
1月4日,加藤 ,通信費,6000,11
1月4日,林 ,租税公課,6800,13
1月4日,中川 ,雑　費,3700,19
1月4日,長谷川 ,地代家賃,4800,01
1月4日,藤田 ,厚生費,4100,04
1月4日,渡辺 ,保険料,1200,12
1月4日,中島 ,広告費,9100,10
1月4日,山田 ,交通費,6800,18
1月4日,中村 ,厚生費,8100,07
1月4日,鈴木 ,接待費,4800,07
1月4日,高橋 ,給　料,7600,03
1月4日,山田 ,消耗品費,3100,10
1月4日,岡田 ,通信費,8100,17
1月4日,清水 ,交際費,8000,17
1月4日,山本 ,消耗品費,3300,01
1月4日,山田 ,給　料,4400,06
1月4日,岡田 ,消耗品費,1700,11
1月4日,加藤 ,交際費,2700,07
1月4日,藤原 ,接待費,5700,05
1月5日,後藤 ,交通費,2600,06
1月5日,林 ,減価償却費,500,03
1月5日,福田 ,雑　費,5500,09
1月5日,渡辺 ,交際費,5900,04
1月5日,山田 ,消耗品費,2500,17
1月5日,木村 ,雑　費,7100,20
1月5日,近藤 ,減価償却費,2200,14
1月5日,田中 ,保険料,7800,13
1月5日,中川 ,広告費,5000,10
1月5日,福田 ,租税公課,4500,20
1月5日,池田 ,減価償却費,7400,02
1月5日,西村 ,給　料,7000,03
1月5日,中川 ,接待費,2600,12
1月5日,山田 ,接待費,4100,18
1月5日,藤井 ,光熱費,1200,19
1月5日,松田 ,租税公課,4200,13
1月5日,木村 ,給　料,3600,11
1月5日,山崎 ,接待費,2400,10
1月5日,藤田 ,消耗品費,5500,20
1月5日,山下 ,光熱費,5000,07
1月5日,近藤 ,雑　費,8300,13
1月5日,山田 ,光熱費,6800,16
1月6日,遠藤 ,厚生費,8900,12
1月6日,小川 ,光熱費,8100,02
1月6日,林 ,広告費,9400,10
1月6日,清水 ,租税公課,300,13
1月6日,太田 ,減価償却費,800,07
1月6日,後藤 ,地代家賃,1100,10
1月6日,坂本 ,消耗品費,6100,13
1月6日,吉田 ,交際費,4100,13
1月6日,田中 ,広告費,6700,05
1月6日,三浦 ,広告費,3300,15
1月6日,前田 ,交際費,700,18
1月6日,小川 ,地代家賃,9400,14
1月6日,渡辺 ,租税公課,3700,17
1月6日,松本 ,交際費,8200,06
1月6日,西村 ,広告費,4000,11
1月6日,藤田 ,地代家賃,8900,08
1月6日,藤原 ,厚生費,4100,01
1月6日,太田 ,減価償却費,600,14
1月6日,長谷川 ,保険料,400,19
1月6日,木村 ,厚生費,7500,02
1月6日,清水 ,給　料,3700,02
1月6日,鈴木 ,交通費,5900,10
1月6日,西村 ,消耗品費,5900,18
1月6日,斎藤 ,雑　費,1900,03
1月6日,鈴木 ,租税公課,2800,07
1月7日,鈴木 ,厚生費,7500,20
1月7日,三浦 ,交際費,1600,06
1月7日,木村 ,減価償却費,3200,20
1月7日,山田 ,交際費,2100,09
1月7日,前田 ,交通費,700,05
1月7日,岡本 ,減価償却費,300,07
1月7日,村上 ,減価償却費,4700,05
1月7日,岡田 ,租税公課,900,18
1月7日,阿部 ,保険料,3900,13
1月7日,長谷川 ,給　料,8800,08
1月7日,渡辺 ,租税公課,1900,07
1月7日,三浦 ,接待費,7800,17
1月7日,藤井 ,光熱費,4200,10
1月7日,太田 ,接待費,3300,06
1月7日,岡田 ,広告費,400,15
1月7日,斉藤 ,雑　費,8100,07
1月7日,三浦 ,消耗品費,8000,11
1月7日,山田 ,接待費,3300,03
1月7日,長谷川 ,接待費,3800,04
1月7日,岡田 ,接待費,7600,11
1月7日,藤原 ,消耗品費,9400,17
1月7日,中村 ,広告費,2500,16
1月7日,後藤 ,給　料,900,20
1月7日,後藤 ,接待費,6500,19
1月7日,前田 ,消耗品費,9400,08
1月7日,池田 ,交際費,1900,11
1月7日,山本 ,広告費,6600,09
1月7日,加藤 ,租税公課,1600,14
1月7日,山下 ,交際費,9000,16
1月7日,池田 ,厚生費,1700,01
1月7日,西村 ,保険料,600,16
1月8日,福田 ,交際費,300,17
1月8日,藤井 ,保険料,1500,15
1月8日,藤井 ,消耗品費,3700,14
1月8日,藤原 ,租税公課,9100,03
1月8日,岡田 ,減価償却費,6800,06
1月8日,吉田 ,通信費,5900,08
1月8日,村上 ,通信費,100,15
1月8日,村上 ,通信費,300,20
1月8日,中川 ,消耗品費,7600,20
1月8日,斉藤 ,光熱費,5400,09
1月8日,藤井 ,減価償却費,2300,06
1月8日,三浦 ,保険料,4000,02
1月8日,坂本 ,消耗品費,9400,07
1月8日,前田 ,接待費,7100,01
1月8日,山崎 ,減価償却費,1400,01
1月8日,山田 ,光熱費,3200,08
1月8日,加藤 ,通信費,7400,16
1月8日,村上 ,減価償却費,3800,16
1月8日,山口 ,雑　費,6900,08
1月8日,伊藤 ,地代家賃,1300,20
1月8日,山下 ,地代家賃,5800,15
1月8日,斎藤 ,厚生費,9100,13
1月8日,斎藤 ,消耗品費,2400,16
1月8日,佐々木 ,厚生費,1800,14
1月8日,藤田 ,広告費,1600,02
1月8日,山本 ,租税公課,4800,09
1月8日,村上 ,通信費,3500,12
1月8日,斉藤 ,給　料,800,11
1月9日,池田 ,接待費,2100,04
1月9日,林 ,地代家賃,1200,08
1月9日,井上 ,交通費,4400,09
1月9日,岡本 ,保険料,9300,07
1月9日,福田 ,消耗品費,4300,17
1月9日,松田 ,給　料,3800,19
1月9日,伊藤 ,保険料,1000,04
1月9日,遠藤 ,給　料,8000,18
1月9日,松本 ,保険料,6600,10
1月9日,池田 ,地代家賃,2400,15
1月9日,伊藤 ,減価償却費,1900,03
1月9日,中島 ,減価償却費,3600,11
1月9日,山下 ,保険料,2300,03
1月9日,中村 ,交際費,6300,18
1月9日,福田 ,地代家賃,4600,15
1月9日,太田 ,地代家賃,8100,19
1月9日,斉藤 ,交際費,9200,08
1月9日,小林 ,広告費,9200,08
1月9日,斉藤 ,保険料,5400,03
1月9日,岡田 ,減価償却費,6100,12
1月9日,小川 ,厚生費,5200,19
1月9日,長谷川 ,厚生費,6900,01
1月9日,斎藤 ,交通費,8500,05
1月9日,三浦 ,消耗品費,1700,02
1月9日,三浦 ,給　料,8500,18
1月9日,井上 ,給　料,4000,05
1月9日,前田 ,交際費,3400,19
1月9日,橋本 ,交際費,100,05
1月9日,佐藤 ,雑　費,9500,02
1月9日,伊藤 ,保険料,7600,01
1月9日,小林 ,接待費,9200,02
1月9日,田中 ,保険料,8300,18
1月9日,近藤 ,光熱費,10000,12
1月9日,田中 ,広告費,4700,18
1月9日,後藤 ,交通費,5300,15
1月10日,山田 ,保険料,1700,18
1月10日,鈴木 ,交通費,3200,20
1月10日,太田 ,通信費,5500,04
1月10日,藤原 ,接待費,800,01
1月10日,遠藤 ,厚生費,100,14
1月10日,藤田 ,雑　費,6900,14
1月10日,佐藤 ,接待費,3800,04
1月10日,前田 ,保険料,7400,05
1月10日,木村 ,雑　費,3400,19
1月10日,池田 ,給　料,200,11
1月10日,木村 ,厚生費,7100,13
1月10日,斉藤 ,交通費,3400,20
1月10日,池田 ,租税公課,5400,11
1月10日,松本 ,交際費,7600,19
1月10日,太田 ,地代家賃,1900,03
1月10日,斎藤 ,通信費,7700,02
1月10日,三浦 ,保険料,1300,16
1月10日,村上 ,雑　費,6700,05
1月10日,坂本 ,消耗品費,7200,16
1月10日,伊藤 ,接待費,6700,16
1月10日,青木 ,租税公課,4700,07
1月10日,清水 ,保険料,4100,06
1月10日,伊藤 ,接待費,10000,09
1月10日,木村 ,交通費,4800,11
1月10日,森 ,租税公課,9400,15
1月10日,松本 ,通信費,9600,04
1月10日,渡辺 ,減価償却費,3700,19
1月10日,中島 ,給　料,500,05
1月11日,中村 ,租税公課,2700,11
1月11日,坂本 ,給　料,2200,06
1月11日,木村 ,広告費,5800,05
1月11日,近藤 ,交通費,1900,08
1月11日,太田 ,通信費,7500,14
1月11日,阿部 ,消耗品費,500,11
1月11日,田中 ,減価償却費,2200,03
1月11日,斉藤 ,厚生費,4900,01
1月11日,山下 ,雑　費,3800,03
1月11日,山下 ,地代家賃,2100,14
1月11日,小川 ,消耗品費,6100,14
1月11日,佐々木 ,広告費,10000,07
1月11日,高橋 ,地代家賃,5300,04
1月11日,後藤 ,広告費,300,05
1月11日,池田 ,租税公課,10000,13
1月11日,松本 ,接待費,4100,19
1月11日,森 ,雑　費,3000,07
1月11日,池田 ,雑　費,4200,08
1月11日,斎藤 ,光熱費,7500,13
1月11日,山田 ,交際費,2900,15
1月11日,渡辺 ,広告費,4300,03
1月11日,福田 ,租税公課,1200,18
1月11日,前田 ,通信費,800,13
1月11日,藤井 ,消耗品費,5500,06
1月11日,山崎 ,交通費,200,05
1月11日,遠藤 ,租税公課,7600,13
1月12日,山田 ,光熱費,3800,06
1月12日,阿部 ,租税公課,3500,04
1月12日,阿部 ,広告費,2500,12
1月12日,山田 ,雑　費,1800,19
1月12日,木村 ,厚生費,7500,16
1月12日,田中 ,厚生費,400,07
1月12日,松田 ,地代家賃,1600,14
1月12日,山下 ,減価償却費,5200,06
1月12日,佐々木 ,消耗品費,6400,08
1月12日,石井 ,消耗品費,3600,05
1月12日,吉田 ,雑　費,7300,05
1月12日,森 ,減価償却費,6800,19
1月12日,清水 ,厚生費,4700,07
1月12日,岡本 ,広告費,1700,15
1月12日,松本 ,交際費,9900,17
1月12日,西村 ,消耗品費,8900,18
1月12日,近藤 ,厚生費,5800,04
1月12日,高橋 ,減価償却費,4200,13
1月12日,松田 ,減価償却費,5000,04
1月12日,吉田 ,光熱費,700,02
1月12日,鈴木 ,厚生費,3300,20
1月12日,渡辺 ,接待費,2500,11
1月12日,林 ,雑　費,6700,11
1月12日,青木 ,減価償却費,6200,13
1月12日,藤井 ,給　料,4200,13
1月12日,中島 ,地代家賃,7300,06
1月12日,坂本 ,接待費,9800,15
1月12日,山崎 ,租税公課,300,20
1月13日,太田 ,光熱費,9100,12
1月13日,佐藤 ,交通費,800,08
1月13日,橋本 ,減価償却費,2300,10
1月13日,清水 ,接待費,3300,02
1月13日,佐藤 ,接待費,9400,04
1月13日,清水 ,地代家賃,8700,12
1月13日,太田 ,租税公課,6900,12
1月13日,藤井 ,厚生費,6800,16
1月13日,村上 ,交通費,1400,19
1月13日,渡辺 ,消耗品費,3300,07
1月13日,高橋 ,地代家賃,9300,19
1月13日,近藤 ,減価償却費,9900,11
1月13日,鈴木 ,通信費,8200,03
1月13日,藤井 ,地代家賃,7300,17
1月13日,池田 ,通信費,3600,04
1月13日,青木 ,消耗品費,1300,13
1月13日,藤原 ,通信費,6800,19
1月13日,森 ,交際費,4900,02
1月13日,岡田 ,接待費,2900,01
1月13日,近藤 ,保険料,9000,14
1月13日,井上 ,光熱費,6000,19
1月13日,清水 ,保険料,5200,08
1月13日,藤井 ,広告費,6500,12
1月13日,小林 ,厚生費,7500,09
1月13日,斎藤 ,接待費,8200,06
1月13日,青木 ,地代家賃,3400,17
1月13日,山本 ,雑　費,800,20
1月13日,山崎 ,給　料,7100,16
1月13日,小林 ,減価償却費,7700,04
1月13日,佐藤 ,租税公課,9900,06
1月13日,後藤 ,減価償却費,3900,15
1月13日,藤原 ,地代家賃,3600,12
1月13日,山口 ,雑　費,6500,18
1月13日,村上 ,消耗品費,5900,07
1月13日,中島 ,地代家賃,2700,01
1月13日,清水 ,広告費,800,20
1月13日,山田 ,厚生費,8300,07
1月13日,藤井 ,租税公課,7100,13
1月13日,佐々木 ,保険料,300,12
1月14日,清水 ,給　料,2900,05
1月14日,森 ,減価償却費,1700,05
1月14日,斎藤 ,交通費,2200,03
1月14日,渡辺 ,光熱費,6900,20
1月14日,小林 ,減価償却費,700,18
1月14日,山田 ,通信費,3700,01
1月14日,田中 ,接待費,1100,18
1月14日,小林 ,租税公課,3500,16
1月14日,山崎 ,厚生費,3300,15
1月14日,遠藤 ,雑　費,4900,17
1月14日,中村 ,交際費,100,20
1月14日,斉藤 ,給　料,2900,10
1月14日,前田 ,地代家賃,4300,14
1月14日,青木 ,交通費,4100,08
1月14日,青木 ,交通費,8900,06
1月14日,中川 ,光熱費,3100,13
1月14日,青木 ,消耗品費,1900,08
1月14日,阿部 ,租税公課,1700,02
1月14日,橋本 ,光熱費,3200,18
1月14日,鈴木 ,交際費,3600,10
1月14日,前田 ,交通費,1100,05
1月14日,石井 ,交通費,9200,15
1月14日,太田 ,広告費,8300,07
1月14日,森 ,厚生費,2300,09
1月14日,渡辺 ,厚生費,8700,16
1月14日,藤田 ,接待費,1100,12
1月14日,後藤 ,減価償却費,2000,18
1月14日,加藤 ,雑　費,1900,04
1月14日,松田 ,減価償却費,3100,17
1月14日,木村 ,消耗品費,2100,13
1月15日,渡辺 ,保険料,2100,16
1月15日,橋本 ,厚生費,5500,03
1月15日,松田 ,接待費,5300,17
1月15日,青木 ,消耗品費,2400,09
1月15日,石井 ,給　料,4200,08
1月15日,山本 ,光熱費,7400,03
1月15日,加藤 ,保険料,2900,16
1月15日,斉藤 ,給　料,600,17
1月15日,藤井 ,光熱費,8800,05
1月15日,橋本 ,光熱費,900,01
1月15日,斎藤 ,消耗品費,7300,20
1月15日,福田 ,広告費,5200,08
1月15日,小川 ,接待費,8500,08
1月15日,斉藤 ,消耗品費,2600,16
1月15日,近藤 ,消耗品費,9900,06
1月15日,山崎 ,給　料,6100,05
1月15日,遠藤 ,給　料,2300,17
1月15日,清水 ,雑　費,4600,01
1月15日,福田 ,消耗品費,7500,07
1月15日,藤原 ,雑　費,1100,13
1月15日,松本 ,交通費,6300,07
1月16日,坂本 ,光熱費,4000,06
1月16日,石川 ,光熱費,5200,12
1月16日,遠藤 ,給　料,9500,04
1月16日,三浦 ,租税公課,2600,14
1月16日,小林 ,保険料,5800,20
1月16日,松本 ,地代家賃,2200,02
1月16日,西村 ,地代家賃,8700,05
1月16日,高橋 ,交際費,6100,03
1月16日,加藤 ,通信費,9200,13
1月16日,伊藤 ,消耗品費,1400,01
1月16日,伊藤 ,消耗品費,500,06
1月16日,佐々木 ,通信費,8100,09
1月16日,池田 ,減価償却費,5100,17
1月16日,清水 ,雑　費,5700,18
1月16日,太田 ,保険料,1800,18
1月16日,中島 ,広告費,5100,19
1月16日,井上 ,減価償却費,3000,17
1月16日,橋本 ,通信費,2000,09
1月16日,木村 ,保険料,2100,05
1月16日,藤井 ,広告費,1600,16
1月16日,吉田 ,減価償却費,6500,19
1月16日,林 ,通信費,5100,16
1月16日,西村 ,保険料,6000,10
1月16日,鈴木 ,光熱費,1000,04
1月16日,長谷川 ,保険料,1400,20
1月16日,太田 ,租税公課,8800,02
1月17日,小川 ,雑　費,1400,18
1月17日,山崎 ,交際費,200,19
1月17日,林 ,光熱費,9100,17
1月17日,山崎 ,光熱費,4800,12
1月17日,石井 ,保険料,8700,04
1月17日,岡田 ,保険料,2200,14
1月17日,佐々木 ,厚生費,7700,08
1月17日,中島 ,保険料,6400,13
1月17日,小林 ,交際費,8900,11
1月17日,藤田 ,交通費,7800,17
1月17日,藤田 ,雑　費,1100,03
1月17日,高橋 ,保険料,5300,19
1月17日,井上 ,交際費,800,19
1月17日,藤原 ,交際費,200,11
1月17日,伊藤 ,接待費,4600,09
1月17日,山田 ,雑　費,4900,09
1月17日,加藤 ,雑　費,7600,10
1月17日,伊藤 ,交際費,5300,02
1月17日,加藤 ,租税公課,6800,11
1月17日,中島 ,租税公課,3900,03
1月17日,松本 ,保険料,3100,18
1月17日,福田 ,雑　費,6400,16
1月17日,山崎 ,地代家賃,9900,10
1月17日,太田 ,交通費,7700,17
1月17日,吉田 ,保険料,5900,19
1月17日,近藤 ,厚生費,8700,13
1月18日,岡田 ,保険料,1300,18
1月18日,三浦 ,地代家賃,2800,09
1月18日,林 ,消耗品費,2200,05
1月18日,山田 ,雑　費,500,20
1月18日,岡田 ,光熱費,1500,05
1月18日,小林 ,広告費,5500,15
1月18日,太田 ,減価償却費,7400,03
1月18日,山下 ,消耗品費,1100,17
1月18日,清水 ,地代家賃,3600,07
1月18日,斉藤 ,交通費,7600,20
1月18日,藤田 ,租税公課,1900,06
1月18日,三浦 ,厚生費,6000,03
1月18日,斎藤 ,交通費,3800,05
1月18日,岡田 ,減価償却費,5900,06
1月18日,池田 ,租税公課,4600,07
1月18日,石川 ,接待費,7100,12
1月19日,藤井 ,厚生費,3400,14
1月19日,中川 ,接待費,2000,19
1月19日,林 ,地代家賃,1400,16
1月19日,林 ,厚生費,6300,15
1月19日,藤井 ,厚生費,5800,11
1月19日,中島 ,租税公課,5200,16
1月19日,坂本 ,光熱費,8000,03
1月19日,斉藤 ,地代家賃,500,14
1月19日,池田 ,交際費,8100,14
1月19日,小林 ,減価償却費,7200,18
1月19日,斎藤 ,地代家賃,200,12
1月19日,岡本 ,保険料,3100,07
1月19日,藤井 ,厚生費,8900,03
1月19日,太田 ,交際費,6100,04
1月19日,藤原 ,交通費,700,20
1月19日,山本 ,雑　費,6100,12
1月19日,三浦 ,給　料,8900,03
1月19日,福田 ,交通費,6000,09
1月19日,佐々木 ,光熱費,6500,20
1月19日,太田 ,交通費,4800,17
1月19日,井上 ,厚生費,8500,08
1月19日,西村 ,広告費,1100,14
1月19日,青木 ,厚生費,4900,10
1月19日,藤原 ,消耗品費,5900,08
1月19日,山田 ,給　料,7700,20
1月19日,岡田 ,給　料,7400,15
1月19日,山下 ,交通費,3400,19
1月19日,山田 ,厚生費,3400,03
1月19日,後藤 ,接待費,4600,03
1月19日,林 ,保険料,3700,02
1月19日,太田 ,厚生費,8400,19
1月19日,三浦 ,光熱費,4700,05
1月19日,小林 ,租税公課,3500,06
1月20日,高橋 ,厚生費,9000,14
1月20日,山口 ,厚生費,3200,16
1月20日,鈴木 ,消耗品費,10000,12
1月20日,中川 ,租税公課,3600,09
1月20日,藤原 ,厚生費,4300,07
1月20日,山下 ,接待費,2300,06
1月20日,太田 ,給　料,5900,16
1月20日,福田 ,通信費,7300,16
1月20日,池田 ,給　料,1900,20
1月20日,吉田 ,通信費,2500,06
1月20日,遠藤 ,通信費,1900,04
1月20日,山本 ,厚生費,3100,16
1月20日,坂本 ,光熱費,3800,18
1月20日,渡辺 ,給　料,8100,17
1月20日,藤原 ,交際費,300,15
1月20日,遠藤 ,租税公課,100,14
1月20日,山下 ,広告費,1000,20
1月20日,西村 ,減価償却費,2900,08
1月20日,加藤 ,厚生費,1400,14
1月20日,村上 ,広告費,9800,14
1月20日,山口 ,地代家賃,6900,18
1月20日,吉田 ,接待費,1200,16
1月20日,後藤 ,地代家賃,8200,12
1月20日,坂本 ,消耗品費,6600,20
1月20日,渡辺 ,広告費,4200,14
1月20日,山口 ,光熱費,400,01
1月20日,鈴木 ,通信費,600,08
1月20日,佐々木 ,交際費,7000,04
1月20日,田中 ,光熱費,7200,06
1月20日,中島 ,通信費,4100,12
1月20日,小林 ,租税公課,10000,18
1月20日,遠藤 ,減価償却費,9600,10
1月20日,岡本 ,雑　費,700,02
1月20日,小川 ,給　料,3200,14
1月20日,岡田 ,給　料,4500,20
1月20日,小林 ,減価償却費,7000,06
1月21日,後藤 ,雑　費,800,02
1月21日,伊藤 ,地代家賃,2400,16
1月21日,池田 ,接待費,9500,06
1月21日,高橋 ,厚生費,9200,04
1月21日,中島 ,給　料,6800,07
1月21日,伊藤 ,雑　費,3800,11
1月21日,小川 ,接待費,800,08
1月21日,斉藤 ,地代家賃,2300,02
1月21日,山口 ,光熱費,1400,02
1月21日,小川 ,光熱費,6800,20
1月21日,池田 ,交際費,2200,08
1月21日,後藤 ,雑　費,6400,06
1月21日,加藤 ,租税公課,5600,05
1月21日,斎藤 ,消耗品費,1200,15
1月21日,小川 ,減価償却費,1800,05
1月21日,井上 ,減価償却費,400,04
1月21日,渡辺 ,地代家賃,9800,19
1月21日,太田 ,減価償却費,3200,01
1月21日,中川 ,租税公課,6800,09
1月21日,小林 ,給　料,2000,01
1月21日,石川 ,光熱費,8600,16
1月21日,村上 ,地代家賃,1700,02
1月21日,岡本 ,交際費,1100,20
1月21日,三浦 ,租税公課,9500,07
1月21日,阿部 ,地代家賃,5000,12
1月21日,田中 ,減価償却費,4300,07
1月21日,松本 ,消耗品費,7200,19
1月21日,中川 ,接待費,6900,02
1月21日,斉藤 ,交際費,7500,19
1月21日,中川 ,交通費,9900,13
1月21日,伊藤 ,光熱費,6400,11
1月22日,坂本 ,地代家賃,900,11
1月22日,斎藤 ,地代家賃,8000,20
1月22日,藤田 ,通信費,7900,06
1月22日,遠藤 ,通信費,3000,12
1月22日,小川 ,通信費,8300,17
1月22日,中川 ,交際費,3000,15
1月22日,池田 ,雑　費,3900,09
1月22日,阿部 ,交通費,7800,02
1月22日,田中 ,消耗品費,2000,20
1月22日,渡辺 ,厚生費,2800,20
1月22日,森 ,地代家賃,5700,15
1月22日,中島 ,租税公課,6300,16
1月22日,中島 ,地代家賃,9000,06
1月22日,藤原 ,厚生費,700,05
1月22日,中島 ,租税公課,4100,13
1月22日,小川 ,給　料,4700,04
1月22日,村上 ,厚生費,6800,17
1月22日,坂本 ,地代家賃,600,02
1月22日,藤原 ,交際費,1400,07
1月22日,坂本 ,租税公課,7600,01
1月22日,加藤 ,厚生費,100,17
1月22日,山下 ,接待費,6200,03
1月22日,松田 ,租税公課,3100,13
1月22日,松本 ,保険料,2900,19
1月22日,岡田 ,光熱費,1800,06
1月22日,太田 ,地代家賃,4800,20
1月23日,山口 ,通信費,6600,12
1月23日,山田 ,通信費,3200,04
1月23日,佐々木 ,租税公課,6500,14
1月23日,石川 ,保険料,2300,08
1月23日,西村 ,広告費,8700,16
1月23日,岡田 ,減価償却費,4500,15
1月23日,小川 ,広告費,4400,10
1月23日,斉藤 ,光熱費,2600,03
1月23日,藤田 ,広告費,7400,12
1月23日,渡辺 ,雑　費,9000,11
1月23日,岡本 ,光熱費,6100,10
1月23日,中村 ,通信費,500,15
1月23日,田中 ,雑　費,4500,17
1月23日,太田 ,厚生費,3100,07
1月23日,田中 ,光熱費,3100,01
1月23日,吉田 ,地代家賃,5300,12
1月23日,太田 ,給　料,5600,08
1月23日,藤原 ,保険料,8600,11
1月23日,阿部 ,地代家賃,7900,11
1月23日,田中 ,通信費,5500,13
1月23日,長谷川 ,厚生費,9300,10
1月23日,森 ,雑　費,4200,16
1月23日,木村 ,交通費,9800,10
1月23日,渡辺 ,保険料,5000,03
1月24日,山下 ,給　料,300,16
1月24日,青木 ,交通費,6200,16
1月24日,中島 ,通信費,4600,03
1月24日,長谷川 ,光熱費,5100,19
1月24日,山本 ,交通費,2100,10
1月24日,吉田 ,広告費,300,05
1月24日,井上 ,広告費,7900,01
1月24日,田中 ,租税公課,1400,18
1月24日,石井 ,交通費,2900,16
1月24日,坂本 ,地代家賃,4200,08
1月24日,小林 ,給　料,6200,13
1月24日,中島 ,地代家賃,1500,09
1月24日,森 ,交際費,2500,01
1月24日,後藤 ,厚生費,8300,14
1月24日,坂本 ,交際費,1500,07
1月24日,佐藤 ,保険料,8600,01
1月24日,坂本 ,交通費,4900,14
1月24日,渡辺 ,交際費,4700,16
1月24日,山口 ,消耗品費,1100,03
1月24日,松田 ,消耗品費,100,16
1月25日,森 ,保険料,2400,09
1月25日,西村 ,厚生費,5800,02
1月25日,池田 ,光熱費,3000,19
1月25日,後藤 ,保険料,8500,04
1月25日,三浦 ,接待費,7900,06
1月25日,池田 ,給　料,9300,11
1月25日,藤田 ,雑　費,1500,09
1月25日,佐藤 ,厚生費,1900,08
